一级政策工具编码,二级政策工具编码,关键词
供给型政策工具,基础设施,公路 基础设施 港口 码头 铁路 航空 机场 交通 公共文化设施 服务设施 
供给型政策工具,投资,信用 证券化 投资 融资 信贷 风险 金融 汇率 金融风险 资本市场 贷款 贴现 
供给型政策工具,财政,财政 预算 补助 补贴 奖励 税 降费 收费 资金投入 中央预算内投资 社会资本 财税 政府债务 地方债券 减免 
供给型政策工具,人才,考试 考核 培训 人才 职业技能 创业
供给型政策工具,土地,用地 耕地 建设用地 宅基地 土地 农用地 
供给型政策工具,环境,绿化 环境 生态 绿色 低碳 环评 污染 治理 空气质量 新能源 碳达峰 节能 减排 节约资源 保护环境
供给型政策工具,文化资源,文化 遗产 传统 博物馆 文创 文艺 人文
供给型政策工具,科技与科研,互联网+ 信息化 科技 创新 学术 重点实验室 科研 研发 智慧城市 数字化 智能
供给型政策工具,旅游业供给,智慧旅游 乡村旅游 红色旅游 研学旅游 工业旅游 休闲产业 导游 旅行社 国内旅游 景区 
供给型政策工具,其他产业支持,农业 工业 农产品 生产 贸易 外贸 经济 增长点 供给 双循环 产业链 供应链 服务业 制造业
需求型政策工具,提高居民收入,增收 收入 就业 最低工资 生活成本 物价 消费能力 劳动报酬
需求型政策工具,促进居民消费,居民消费 消费者 消费需求 计划生育 二胎 国内需求 促消费
需求型政策工具,刺激旅游消费,旅游消费 休闲消费
需求型政策工具,提高居民生活保障,养老保险 失业保险 社会保障 公共卫生 医疗 义务教育 保障性 卫生服务 残疾人 便民服务 普惠 公共服务 社会服务  医保 医疗保障 健康保险 劳动保障 公立 劳动权益
环境型政策工具,政府工作,放管服 精简 信息化 公开征集 政府职能 协调 效率 审批 统计 数据监测 材料报送 政务 平台 交流 协调 协同 多元参与 绿色通道 营商环境
环境型政策工具,行业规范与引导,合格证制度 准入 评选 示范 通报表扬 条例》 许可证 备案 查处 监督管理 监管 协会 标准化 行业自律 行业协会 行政处罚 职业标准 市场秩序 
环境型政策工具,安全保障,安全 社会稳定 法制保障 应急 预警 系统性风险 案件 查办 查处 疫情 法治 执法 立法
环境型政策工具,区域发展,城乡 农村 乡村 东北 西北 东南 西南 西部 贫困地区 长三角 珠三角 京津冀 粤港澳 首都 北京 辐射 上海 天津 中心城市
环境型政策工具,规划指导,规划 计划 指导思想 基本原则 
环境型政策工具,政策落实,组织领导 实效 实处 自查 执行 监督检查 绩效考核 落实到位 落实到人 落实责任 机制 试点 试验区 监测评估 政策宣传 主体责任 政策解读 政策协同
环境型政策工具,组织建设,党风 廉政 组织建设 纪律 政治站位 纪检 问责 思想认识 思想建设
